200202022 2 99
200202028 1 69
200202023 1 92
200202030 4 67
200202031 5 59
200202016 2 95
200202008 5 84
200202006 4 35
200202041 1 72
200202001 3 70
200202004 1 65
200202037 4 75
200202003 2 20
200202005 4 80
200202038 2 75
200202008 1 68
200202026 3 62
200202014 1 70
200202002 3 55
200202040 4 88
200202007 3 50
200202001 1 65
200202004 3 75
200202018 3 76
200202007 2 70
200202015 5 75
200202029 1 83
200202001 2 55
200202021 2 64
200202013 2 85
200202007 5 80
200202006 1 75
200202025 5 94
200202027 2 87
200202009 2 65
200202033 2 79
200202017 1 65
200202005 2 66
200202019 4 81
200202035 3 89
200202024 3 86
200202032 1 74
200202010 1 80
200202011 2 85
200202012 4 95
200202036 2 95
200202020 1 93
200202006 2 80
200202034 5 84
200202039 5 50
200202022 5 100
1 1 80
10 1 10
10 2 100
